"HomeTeam","AwayTeam","FTHG","FTAG","FTR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA"
"Alaves","Celta",3,0,"H",2.75,3.1,2.7,2.5,3.2,2.95,2.7,3.09,2.95,2.6,3.1,2.8,2.75,3.21,3
"Ath Madrid","Ath Bilbao",3,1,"H",1.95,3.5,4,2,3.5,3.7,1.97,3.57,4.05,1.91,3.7,3.75,2.03,3.72,4.1
"Cadiz","Mallorca",1,1,"D",2.5,2.9,3.2,2.55,2.85,3.2,2.69,2.85,3.23,2.5,2.88,3.2,2.7,2.95,3.31
"Granada","Osasuna",3,0,"H",2.55,3.1,3,2.55,3.1,2.9,2.64,3.15,2.97,2.6,3.2,2.8,2.67,3.24,3.02
"Villarreal","Vallecano",3,0,"H",1.65,4,5,1.75,3.8,4.4,1.74,3.93,4.84,1.7,3.9,4.6,1.77,4.09,5
"Betis","Sevilla",1,1,"D",2.05,3.4,3.6,2.1,3.3,3.6,2.08,3.42,3.84,2.05,3.4,3.6,2.15,3.52,3.89
"Barcelona","Valencia",4,2,"H",1.36,5,7.5,1.38,5,7.75,1.36,5.49,8.18,1.33,5,8.5,1.4,5.7,9
"Getafe","Ath Bilbao",0,2,"A",4,3.2,2.05,3.6,2.95,1.95,4.08,3.3,2.08,3.9,3.2,2.05,4.1,3.37,2.15
"Sociedad","Las Palmas",2,0,"H",1.33,5,10,1.36,4.8,9,1.36,5.08,9.57,1.33,4.8,9.5,1.4,5.2,10
"Real Madrid","Cadiz",3,0,"H",1.33,5.25,8.5,1.34,5.25,9,1.35,5.53,8.54,1.33,5,9,1.39,5.7,11
"Girona","Barcelona",4,2,"H",2.7,3.75,2.4,2.65,3.75,2.37,2.75,3.87,2.43,2.7,3.8,2.38,2.85,3.92,2.47
"Mallorca","Ath Madrid",0,1,"A",3.75,3.2,2.15,3.6,3.2,2.15,3.82,3.16,2.19,3.7,3.2,2.1,3.91,3.31,2.21
"Osasuna","Betis",0,2,"A",3.2,3.25,2.38,3.1,3.25,2.35,3.22,3.29,2.39,3.1,3.3,2.3,3.33,3.35,2.43
"Celta","Villarreal",3,2,"H",2.3,3.6,2.88,2.3,3.6,2.87,2.44,3.69,2.84,2.38,3.6,2.75,2.48,3.75,2.93
"Valencia","Alaves",0,1,"A",2.1,3,4,2.1,3,3.9,2.15,2.93,4.37,2.05,3,4.2,2.19,3.15,4.45
"Sevilla","Granada",3,0,"H",1.65,4,5.25,1.63,4,5,1.67,4.08,5.18,1.62,4.2,5,1.71,4.2,5.5
"Vallecano","Almeria",0,1,"A",1.57,4,5.75,1.55,4.2,5.75,1.6,4.2,5.76,1.55,4.2,5.8,1.63,4.31,6
"Alaves","Girona",2,2,"D",3.5,3.6,2.05,3.3,3.5,2.1,3.57,3.63,2.12,3.4,3.6,2.05,3.62,3.7,2.15
"Mallorca","Las Palmas",1,0,"H",1.65,3.5,6.5,1.65,3.3,6.25,1.62,3.32,7.34,1.62,3.5,6.5,1.73,3.6,7.8
"Villarreal","Sevilla",3,2,"H",1.83,4,3.8,1.88,3.9,3.75,1.84,3.94,3.91,1.85,3.9,3.75,1.91,4.16,4
"Granada","Real Madrid",0,4,"A",5.5,4.6,1.53,6,4.4,1.52,5.32,4.58,1.54,6,4.5,1.5,6.27,4.8,1.58
"Ath Bilbao","Osasuna",2,2,"D",1.44,4.33,7.5,1.47,4.33,7,1.45,4.29,7.49,1.44,4.33,7.5,1.51,4.6,8.1
"Cadiz","Getafe",1,0,"H",2.1,3.2,3.8,2.1,3.1,3.9,2.1,3.28,3.71,2.05,3.2,3.8,2.19,3.4,4
"Ath Madrid","Celta",1,0,"H",1.42,4.75,7,1.44,4.75,6.75,1.43,4.22,8.29,1.44,4.75,7,1.49,5,8.8
"Valencia","Vallecano",0,0,"D",2.25,3.1,3.5,2.3,3.1,3.4,2.27,3,3.63,2.2,3.1,3.5,2.33,3.18,3.75
