ANTIG PVENTA SUP
25 513325.183374083 532.88740245262
25 217603.91198044 225.938312894835
25 244498.777506112 286.882199925678
25 188264.058679707 295.336306205871
25 225794.621026895 304.626532887402
25 336185.819070905 434.875510962468
25 142420.537897311 233.927907840951
18 207823.960880196 308.714232627276
18 224938.875305623 333.890746934225
18 216381.41809291 218.599033816425
13 315403.422982885 373.467112597547
13 261613.69193154 290.040876997399
13 349022.004889976 340.951319212189
13 397310.513447433 354.143441099963
13 207823.960880196 192.865105908584
13 236552.567237164 319.397993311037
13 238997.555012225 271.553325901152
13 410757.946210269 383.965068747677
8 310513.447432763 290.040876997399
8 249388.753056235 299.33110367893
8 240709.046454768 245.44778892605
8 205378.973105135 256.410256410256
8 354523.227383863 391.583054626533
8 199877.750611247 233.835005574136
8 156479.217603912 193.515421776291
5 188264.058679707 207.636566332219
5 311735.941320293 302.025269416574
5 421638.141809291 369.007803790412
5 369193.15403423 395.299145299145
5 342298.288508557 370.029728725381
5 433985.33007335 401.802303976217
5 175916.870415648 273.875882571535
2 229095.354523227 206.800445930881
2 173594.13202934 235.228539576366
2 479523.227383863 328.409513192122
2 537897.310513448 409.791898922334
2 281051.344743276 284.280936454849
2 176650.366748166 197.138610182088
1 173594.13202934 211.817168338907
1 296943.765281174 266.257896692679
1 270171.149144254 282.329988851728
